symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
NOC,Northrop Grumman Corporation,545.435,546.723353021368,0.2,9.313702e+10
NRG,"NRG Energy, Inc.",129.215,135.98690350144253,5.2,5.1871396e+10
NUE,Nucor Corporation,255.41,269.6799381578061,5.6,6.6060165e+10
NVDA,NVIDIA Corporation,206.27,218.16045070310886,5.8,5.2437063e+12
NVR,"NVR, Inc.",6230.72,6182.9680138347385,-0.8,1.6134701e+10
NXPI,NXP Semiconductors N.V.,300.5,319.945580079689,6.5,8.879301e+10
ORLY,"O'Reilly Automotive, Inc.",90.07,88.85963258790902,-1.3,8.211791e+10
OXY,Occidental Petroleum Corporation,57.425,68.0057479715862,18.4,8.044088e+10
ODFL,"Old Dominion Freight Line, Inc.",244.01,245.02122666464481,0.4,5.0708558e+10
OMC,Omnicom Group Inc.,75.52,78.94800007786498,4.5,2.972917e+10
ON,ON Semiconductor Corporation,120.2,132.97017320004454,10.6,5.2541428e+10
OKE,"ONEOK, Inc.",88.8,88.67425507519408,-0.1,8.9347695e+10
ORCL,Oracle Corporation,212.28,314.7493213891572,48.3,1.0282665e+12
OTIS,Otis Worldwide Corporation,70.51,69.77268390496103,-1.0,3.41569e+10
PCAR,PACCAR Inc,117.42,117.64556829397867,0.2,6.8367143e+10
PKG,Packaging Corporation of America,223.17,224.23451184393406,0.5,2.3802192e+10
PLTR,Palantir Technologies Inc.,135.16,147.35807952907442,9.0,3.3053023e+11
PANW,"Palo Alto Networks, Inc.",273.3,279.25897753128834,2.2,2.2661507e+11
PSKY,Paramount Skydance Corporation,9.905,11.973450015979113,20.9,2.7677198e+10
PH,Parker-Hannifin Corporation,887.32,875.9204114252174,-1.3,1.1954764e+11
PYPL,"PayPal Holdings, Inc.",41.46,42.97149365104339,3.6,4.023339e+10
PNR,Pentair plc,73.27,73.26798142397853,-0.0,1.3854412e+10
PEP,"PepsiCo, Inc.",143.68,143.904649741606,0.2,2.3858432e+11
PFE,Pfizer Inc.,26.13,25.667901373910276,-1.8,1.9794277e+11
PCG,PG&E Corporation,17.225,17.712797172805153,2.8,1.0081756e+11
PM,Philip Morris International Inc.,179.85,177.39924125777924,-1.4,3.2299916e+11
PSX,Phillips 66,184.61,186.50694269610074,1.0,9.6751165e+10
PNW,Pinnacle West Capital Corporation,103.665,102.11998567571091,-1.5,2.7512508e+10
POOL,Pool Corporation,187.71,183.6101844845223,-2.2,8.2101745e+09
PPG,"PPG Industries, Inc.",113.72,111.94308967249887,-1.6,3.1065115e+10
PPL,PPL Corporation,35.815,35.27156537209189,-1.5,4.5588574e+10
PG,The Procter & Gamble Company,147.77,140.278671162416,-5.1,3.5137277e+11
PLD,"Prologis, Inc.",145.5,148.38381074674635,2.0,1.7278285e+11
PEG,Public Service Enterprise Group Incorporated,79.61,91.77506213550106,15.3,6.972848e+10
PTC,PTC Inc.,137.46,138.27556694538373,0.6,1.6913569e+10
PSA,Public Storage,312.16,332.9865177252826,6.7,6.8352025e+10
PHM,"PulteGroup, Inc.",118.74,118.35674262712143,-0.3,2.3190714e+10
PWR,"Quanta Services, Inc.",694.585,720.8822942059054,3.8,1.1413062e+11
QCOM,QUALCOMM Incorporated,219.4299,243.90024015180265,11.2,2.6254185e+11
DGX,Quest Diagnostics Incorporated,201.365,198.25598269299184,-1.5,2.796123e+10
RL,Ralph Lauren Corporation,366.555,577.9532386149408,57.7,2.269571e+10
RTX,RTX Corporation,181.87,179.86108548742013,-1.1,2.7433294e+11
O,Realty Income Corporation,61.335,62.23712969368237,1.5,8.793447e+10
REG,Regency Centers Corporation,78.05,79.23417047344195,1.5,1.960542e+10
REGN,"Regeneron Pharmaceuticals, Inc.",636.75,621.2641323999834,-2.4,5.7956303e+10
RSG,"Republic Services, Inc.",211.425,208.15478850477598,-1.5,7.801075e+10
RMD,ResMed Inc.,195.84,192.3490235631408,-1.8,2.708411e+10
RVTY,"Revvity, Inc.",98.17,102.71933242460075,4.6,1.3949204e+10
ROK,"Rockwell Automation, Inc.",448.375,464.08999583217826,3.5,5.527213e+10
